GAINS3_EventID,GAINS3_SampleUnitID,ContainerID,ContainerType,Quantity,QuantityCertainty,QuantityUnit,SampleUnitID,AnimalID (GAINS),AnimalID from Country,PriortizedForTesting,SampleDate,SampleUnitLatitude,SampleUnitLongitude,ButcherReducesBloodContact,CircumstanceOfObservation,OtherConditionOfPreservation,OriginKnown,OriginLocation,TimeSinceOrigin,DestinationProduct,VendorQuantity,PriceUnitUSD,RateSaleSold,IdentifiedBy,CircumstanceObservation,AnimalClassification,Taxagroup,SpeciesScientificName,SpeciesCommonNameEnglish,SpeciesCommonNameLocal,IdentificationCertainty,TagBandID,Sex,AgeClass,Pregnant,WithYoung,Lactating,ConditionAtCapture,ConditionAtRelease,PreservationMethod,OtherConditionPreservation,Use,OtherUse,Euthanasia,ClinicalSigns/GrossFindings,DiseaseSuspected,SuspectedDIsease,Necropsy/exam,FieldNecropsyResult,BodyMeasurementBodyPartType,BodyMeasurementUnit,BodyMeasurementValue,PartName,PartDescription,PerceivedRateOfSale,PriceUnitLocal,VendorQuantityUnit,VendorQuantityCertainty,ButcheringActivity,ButcherName,ButcherObservableRiskFactors,Quarter,SampleUnitNotes,SampleUnitCustomColumns,class,order,family,genus,species,DateLastUpdated,SampleIndividualName,CRDate,LMDate,Country
112,201,NA,NA,NA,NA,NA,GVF-CM-ECO95876,GVF-CM-ECO95876,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95876,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,202,NA,NA,NA,NA,NA,GVF-CM-ECO95877,GVF-CM-ECO95877,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95877,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,203,NA,NA,NA,NA,NA,GVF-CM-ECO95878,GVF-CM-ECO95878,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95878,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,204,NA,NA,NA,NA,NA,GVF-CM-ECO95879,GVF-CM-ECO95879,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95879,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,205,NA,NA,NA,NA,NA,GVF-CM-ECO95880,GVF-CM-ECO95880,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95880,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,206,NA,NA,NA,NA,NA,GVF-CM-ECO95881,GVF-CM-ECO95881,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95881,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,207,NA,NA,NA,NA,NA,GVF-CM-ECO95882,GVF-CM-ECO95882,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95882,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,208,NA,NA,NA,NA,NA,GVF-CM-ECO95885,GVF-CM-ECO95885,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Non-human Primates,Cercopithecus nictitans,Greater spot-nosed monkey,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Primates                           ,Cercopithecidae                    ,Cercopithecus                      ,nictitans,2015-03-04T00:15:42.33,GVF-CM-ECO95885,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,209,NA,NA,NA,NA,NA,GVF-CM-ECO95886,GVF-CM-ECO95886,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Other Mammals,Manis tricuspis,Tree pangolin,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Pholidota                          ,Manidae                            ,Manis                              ,tricuspis,2015-03-04T00:15:42.33,GVF-CM-ECO95886,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,210,NA,NA,NA,NA,NA,GVF-CM-ECO95898,GVF-CM-ECO95898,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Other Mammals,Manis tricuspis,Tree pangolin,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Pholidota                          ,Manidae                            ,Manis                              ,tricuspis,2015-03-04T00:15:42.33,GVF-CM-ECO95898,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,211,NA,NA,NA,NA,NA,GVF-CM-ECO93182,GVF-CM-ECO93182,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Ungulates,Cephalophus callipygus,Peter's duiker,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Artiodactyla                       ,Bovidae                            ,Cephalophus                        ,callipygus,2015-03-04T00:15:42.33,GVF-CM-ECO93182,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
