eidith_name,eidith_class,eidith_order,eidith_family,eidith_genus,eidith_species,itis_name,itis_class,itis_order,itis_family,itis_genus,itis_species,itis_subspecies,itis_binomial
Pipistrellus nanus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,nanus,Neoromicia nana nana,Mammalia,Chiroptera,Vespertilionidae,Neoromicia,nana,nana,Neoromicia nana
Galagoides demidovii,Mammalia,Primates,Galagidae,Galagoides,demidovii,Galagoides demidoff,Mammalia,Primates,Galagidae,Galagoides,demidoff,NA,Galagoides demidoff
Funisciurus congicus,Mammalia,Rodentia,Sciuridae,Funisciurus,congicus,Funisciurus congicus,Mammalia,Rodentia,Sciuridae,Funisciurus,congicus,NA,Funisciurus congicus
Heliosciurus gambianus,Mammalia,Rodentia,Sciuridae,Heliosciurus,gambianus,Heliosciurus gambianus,Mammalia,Rodentia,Sciuridae,Heliosciurus,gambianus,NA,Heliosciurus gambianus
Cricetomys gambianus,Mammalia,Rodentia,Muridae,Cricetomys,gambianus,Cricetomys gambianus,Mammalia,Rodentia,Nesomyidae,Cricetomys,gambianus,NA,Cricetomys gambianus
Oenomys sp.,Mammalia,Rodentia,Muridae,Oenomys,NA,Oenomys sp.,Mammalia,Rodentia,Muridae,Oenomys,NA,NA,NA
Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,ascanius,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,ascanius,NA,Cercopithecus ascanius
Cercopithecus wolfi,Mammalia,Primates,Cercopithecidae,Cercopithecus,wolfi,Cercopithecus wolfi,Mammalia,Primates,Cercopithecidae,Cercopithecus,wolfi,NA,Cercopithecus wolfi
Pelusios sp.,Reptilia,Testudines,Pelomedusidae,Pelusios,NA,Pelusios sp.,Reptilia,Testudines,Pelomedusidae,Pelusios,NA,NA,NA
Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,aterrimus,Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,aterrimus,NA,Lophocebus aterrimus
Guttera pucherani,Aves,Galliformes,Numididae,Guttera,pucherani,Guttera pucherani,Aves,Galliformes,Numididae,Guttera,pucherani,NA,Guttera pucherani
Gorilla beringei beringei,Mammalia,Primates,Hominidae,Gorilla,beringei,Gorilla beringei beringei,Mammalia,Primates,Hominidae,Gorilla,beringei,beringei,Gorilla beringei
Cercopithecus mitis kandti,Mammalia,Primates,Cercopithecidae,Cercopithecus,mitis,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,mitis,NA,Cercopithecus mitis
Chlorocebus pygerythrus,Mammalia,Primates,Cercopithecidae,Chlorocebus,pygerythrus,Chlorocebus pygerythrus,Mammalia,Primates,Cercopithecidae,Chlorocebus,pygerythrus,NA,Chlorocebus pygerythrus
Gorilla beringei graueri,Mammalia,Primates,Hominidae,Gorilla,beringei,Gorilla beringei graueri,Mammalia,Primates,Hominidae,Gorilla,beringei,graueri,Gorilla beringei
Crocidura sp.,Mammalia,Soricomorpha,Soricidae,Crocidura,NA,Crocidura sp.,Mammalia,Soricomorpha,Soricidae,Crocidura,NA,NA,NA
Mammalia,NA,NA,NA,Mammalia,,Mammalia sp.,Mammalia,NA,NA,NA,NA,NA,NA
Oenomys hypoxanthus,Mammalia,Rodentia,Muridae,Oenomys,hypoxanthus,Oenomys hypoxanthus,Mammalia,Rodentia,Muridae,Oenomys,hypoxanthus,NA,Oenomys hypoxanthus
Lophuromys sp.,Mammalia,Rodentia,Muridae,Lophuromys,NA,Lophuromys sp.,Mammalia,Rodentia,Muridae,Lophuromys,NA,NA,NA
Hylomyscus sp.,Mammalia,Rodentia,Muridae,Hylomyscus,NA,Hylomyscus sp.,Mammalia,Rodentia,Muridae,Hylomyscus,NA,NA,NA
Rattus sp.,Mammalia,Rodentia,Muridae,Rattus,,Rattus sp.,Mammalia,Rodentia,Muridae,Rattus,NA,NA,NA
Aethomys,Mammalia,Rodentia,Muridae,Aethomys,,Aethomys sp.,Mammalia,Rodentia,Muridae,Aethomys,NA,NA,NA
Thamnomys sp.,Mammalia,Rodentia,Muridae,Thamnomys,,Thamnomys sp.,Mammalia,Rodentia,Muridae,Thamnomys,NA,NA,NA
Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,mona,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,mona,NA,Cercopithecus mona
Guttera plumifera,Aves,Galliformes,Numididae,Guttera,plumifera,Guttera plumifera,Aves,Galliformes,Numididae,Guttera,plumifera,NA,Guttera plumifera
Phasianidae sp.,Aves,Galliformes,Phasianidae,NA,NA,Phasianidae sp.,Aves,Galliformes,Phasianidae,NA,NA,NA,NA
Cercopithecus erythrotis,Mammalia,Primates,Cercopithecidae,Cercopithecus,erythrotis,Cercopithecus erythrotis,Mammalia,Primates,Cercopithecidae,Cercopithecus,erythrotis,NA,Cercopithecus erythrotis
